日期,品种,合约,合约月份,席位,多头持仓,空头持仓,净持仓,净持仓方向,多头增减仓,空头增减仓
20260303,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260303,菜粕,RM2701,01,中粮期货,0,1110,-1110,净空,0,-2
20260303,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260303,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260303,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260304,菜粕,RM2609,09,中粮期货,15976,37544,-21568,净空,2482,8215
20260304,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260304,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260304,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260304,菜粕,RM2701,01,中粮期货,0,1111,-1111,净空,0,1
20260304,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260304,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260304,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260305,菜粕,RM2609,09,中粮期货,16409,38842,-22433,净空,433,1298
20260305,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260305,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260305,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260305,菜粕,RM2701,01,中粮期货,0,1111,-1111,净空,0,0
20260305,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260305,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260305,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260306,菜粕,RM2609,09,中粮期货,18418,43319,-24901,净空,2009,4477
20260306,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260306,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260306,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260306,菜粕,RM2701,01,中粮期货,0,1108,-1108,净空,0,-3
20260306,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
